id,title,description,date,url,source,country,category
1,Integration to emigration: Why do migrants leave Germany?,"Germany promises opportunity and stability — yet many migrants feel overlooked and excluded. As more consider leaving, their stories point not only to policy gaps, but the need for a deeper societal shift.",2025-07-01,https://www.dw.com/en/integration-to-emigration-why-do-migrants-leave-germany/a-73092293?maca=en-rss-en-ger-1023-rdf,Deutsche Welle,Germany,Conflict
2,UN criticizes Germany over plans to deport people to Afghanistan,Germany’s Interior Minister has said he is open to creating a direct line with the Taliban to enable deportations of Afghans living in Germany. The UN has criticized the plan.,2025-07-04,https://www.dw.com/en/un-criticizes-germany-over-plans-to-deport-people-to-afghanistan/a-73156917?maca=en-rss-en-ger-1023-rdf,Deutsche Welle,Germany,Technology
3,"Germany updates: 1,000 firefighters tackle wildfires in east","Two major wildfires have been burning in the eastern German states of Saxony and Thuringia. Meanwhile, several people were injured when a bus overturned in Mecklenburg-Vorpommern. Follow DW for more.",2025-07-04,https://www.dw.com/en/germany-updates-1-000-firefighters-tackle-wildfires-in-east/live-73152068?maca=en-rss-en-ger-1023-rdf,Deutsche Welle,Germany,Culture
4,Majority of Germans want stricter rules on teenage drinking,Almost two thirds of Germans surveyed support a ban on young teenagers drinking. German health ministers also agree.,2025-07-03,https://www.dw.com/en/majority-of-germans-want-stricter-rules-on-teenage-drinking/a-73140629?maca=en-rss-en-ger-1023-rdf,Deutsche Welle,Germany,Health
5,Germany seeks direct talks with Taliban on deportations,"Signalling a shift in policy, Germany's interior minister has said the need for mediators to negotiate with Afghanistan's rulers is ""not a permanent solution.""",2025-07-03,https://www.dw.com/en/germany-seeks-direct-talks-with-taliban-on-deportations/a-73140673?maca=en-rss-en-ger-1023-rdf,Deutsche Welle,Germany,Politics
6,Euro 2025: Germany win but Gwinn injury casts shadow,"A stunning strike from Jule Brand helped Germany to a winning start at Euro 2025. The 2-0 win over Poland was not as straightforward as many imagined though, and another knee injury to captain Giulia Gwinn is a concern.",2025-07-04,https://www.dw.com/en/euro-2025-germany-win-but-gwinn-injury-casts-shadow/a-73162662?maca=en-rss-en-ger-1023-rdf,Deutsche Welle,Germany,Sports
7,Will Germany's military spending spree deliver broad economic growth?,The German arms industry is thriving thanks to a major state-run investment program. But will the country's wider economy benefit?,2025-07-04,https://www.dw.com/en/will-germany-s-military-spending-spree-deliver-broad-economic-growth/a-73125966?maca=en-rss-en-ger-1023-rdf,Deutsche Welle,Germany,Business
8,Felize dances and parties in Berlin's famous Berghain in her wheelchair. How can German clubs practice inclusion?,Felize dances and parties in Berghain in her wheelchair. How can clubs practice inclusion aside from having awareness teams and wheelchair ramps?,2025-07-04,https://www.dw.com/en/felize-dances-and-parties-in-berlin-s-famous-berghain-in-her-wheelchair-how-can-german-clubs-practice-inclusion/a-73152502?maca=en-rss-en-ger-1023-rdf,Deutsche Welle,Germany,Conflict
9,Kanye to headline Slovakia festival despite releasing pro-Hitler song,"Kanye West, who now goes by the name Ye, is set to perform at a Slovakian festival this July. A petition calls for the rapper to be removed from the lineup.",2025-06-23,https://www.dw.com/en/kanye-to-headline-slovakia-festival-despite-releasing-pro-hitler-song/a-72529448?maca=en-rss-en-ger-1023-rdf,Deutsche Welle,Germany,Conflict
10,How Donald Trump has profited worldwide from his presidency,"With Donald Trump's return to the White House, the Trump family's fortune is surging as many question the line between presidential power and private profit.",2025-07-05,https://www.dw.com/en/how-donald-trump-has-profited-worldwide-from-his-presidency/a-73145728?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United States,Politics
11,Australia: PM denounces synagogue arson attack,A man doused the door of the building in Melbourne and set it alight while 20 worshippers were inside.,2025-07-05,https://www.dw.com/en/australia-pm-denounces-synagogue-arson-attack/a-73167525?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Australia,General
12,Turkey arrests 3 mayors in crackdown on opposition,"A crackdown on Erdogan's rival Republican People's Party continues, as three mayors from southern Turkey are held.",2025-07-05,https://www.dw.com/en/turkey-arrests-3-mayors-in-crackdown-on-opposition/a-73166013?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Turkey,Politics
13,Ukraine hits Russian airfield day after mass wave of strikes,"The Ukrainian military said it hit the Borisoglebsk airfield, home to several Russian military aircraft. Meanwhile, US President Donald Trump has expressed frustration with Vladimir Putin. DW has more.",2025-07-05,https://www.dw.com/en/ukraine-hits-russian-airfield-day-after-mass-wave-of-strikes/live-73165671?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Ukraine,Politics
14,Paris reopens Seine River for public swimming,Parisians have begun bathing in the Seine for the first time in over 100 years after a ban was lifted. The French capital has created three swimming zones along the river as part of its Olympic legacy.,2025-07-05,https://www.dw.com/en/paris-reopens-seine-river-for-public-swimming/a-73163816?maca=en-rss-en-all-1573-rdf,Deutsche Welle,France,Culture
15,Indian PM Modi receives top civilian honor in Trinidad and Tobago,Narendra Modi received Trinidad and Tobago's top honor during a trip to the Caribbean nation. The Indian prime minister has vowed deeper economic partnership between the two sides.,2025-07-05,https://www.dw.com/en/indian-pm-modi-receives-top-civilian-honor-in-trinidad-and-tobago/a-73163569?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Trinidad and Tobago,Politics
16,Rising death toll in Texas floods as children remain missing,Authorities in the US state confirmed more than 20 children who attended a summer camp were still missing as a result of flash floods along the Guadalupe River.,2025-07-05,https://www.dw.com/en/rising-death-toll-in-texas-floods-as-children-remain-missing/a-73162966?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United States,Culture
17,Trump signs 'Big Beautiful Bill' into law,The signature policy enacts key parts of Donald Trump's agenda and could cement his second-term legacy.,2025-07-05,https://www.dw.com/en/trump-signs-big-beautiful-bill-into-law/a-73163263?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United States,Politics
18,Leaders meet for first-ever EU-Moldova summit,"Chisinau is keen to use the first-ever EU-Moldova summit to push harder for bloc membership. Meanwhile, leaders face opposition from within over progress for another contender for accession.",2025-07-04,https://www.dw.com/en/leaders-meet-for-first-ever-eu-moldova-summit/live-73152824?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United States,General
19,LGBTQ+ in Turkey: Insisting on life,"The Turkish government is imposing serious restrictions on people's freedom. LGBTQ+ people are among the worst affected. Their existence is threatened with bans, arrests, and blocked websites. But they're not giving up.",2025-07-04,https://www.dw.com/en/lgbtq-in-turkey-insisting-on-life/a-73161247?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United States,Conflict
20,Pakistan: Several killed in Karachi building collapse,At least seven people have been reported dead Friday after a 5-story building in Karachi's Lyari neighborhood collapsed. Rescuers continue to search for survivors.,2025-07-04,https://www.dw.com/en/pakistan-several-killed-in-karachi-building-collapse/a-73161461?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Pakistan,Conflict
